user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,clean_hashtags,clean_text,clean_tweets,label,classes
Michael,"Kent, UK","Pro-European Federalist, Traveling,Photography,Videography, Gardening,Yorkie Terrier owner, 3 Children. #RemainerNow",2016-02-27 05:07:00,1633.0,1270.0,58282.0,True,2020-11-16 02:21:00,"2020’s #Elfonashelf has just arrived, #imacelebrity #COVID19 #Covid19UK #CovidVaccine #FBPE #KBF https://t.co/wu3fgG2Mxb","['Elfonashelf', 'imacelebrity', 'COVID19', 'Covid19UK', 'CovidVaccine', 'FBPE', 'KBF']",Twitter for iPhone,False,"elfonashelf, imacelebrity, covid19, covid19uk, covidvaccine, fbpe, kbf",2020s elfonashelf has just arrived imacelebrity covid19 covid19uk covidvaccine fbpe kbf,s elfonashelf ha just arrived imacelebrity covid covid uk covidvaccine fbpe kbf,fact/announcement,0
JeanConnorsMD,"Brigham and Women's Hospital, Dana Farber Cancer Institute, BOSTON",Hematologist,2018-07-19 14:20:00,1529.0,314.0,17468.0,True,2021-01-31 04:02:00,"—we need to make it clear—it’s ok to get vax on anticoag! #CovidVaccine  
Should People on Blood Thinners Avoid The… https://t.co/D7xTB4zyHT",['CovidVaccine'],Twitter Web App,False,covidvaccine,we need to make it clearits ok to get vax on anticoag covidvaccine should people on blood thinners avoid the,we need to make it clear it is ok to get vax on anticoag covidvaccine should people on blood thinner avoid the,fact/announcement,0
CVS & Rite Aid Vaccine Finder CA,,I'm a bot working to find CVS & Rite Aid #Vaccine appointments in California,2021-02-13 18:55:00,2990.0,8.0,830.0,True,2021-04-07 23:40:00,"10 CVS locations show #CovidVaccine slots in CA:
Arvin
Bakersfield
Eureka
Madera
Pollock Pines
Porterville
Reedley… https://t.co/Yc6mVUuP4A",['CovidVaccine'],,False,covidvaccine,10 cvs locations show covidvaccine slots in caarvinbakersfieldeurekamaderapollock pinesportervillereedley,cv location show covidvaccine slot in ca arvin bakersfield eureka madera pollock pine porterville reedley,fact/announcement,0
Sam White,,,2020-11-26 00:18:00,235.0,589.0,4659.0,True,2021-01-25 16:41:00,"Is History repeating with the deaths and injuries from the #CovidVaccine ? #America #Flu Vaccine tragedy.#USA 
""To… https://t.co/CpBkOfgXKi","['CovidVaccine', 'America', 'Flu', 'USA']",Twitter Web App,False,"covidvaccine, america, flu, usa",is history repeating with the deaths and injuries from the covidvaccine america flu vaccine tragedyusa to,is history repeating with the death and injury from the covidvaccine america flu vaccine tragedy usa to,fact/announcement,0
TRICARE,"Falls Church, VA",The Military health plan for service members & families. Following/ Retweeting does not=Endorsement. Transparency: https://t.co/cotyouoCDU,2009-04-03 13:08:00,35142.0,942.0,2069.0,True,2021-02-10 23:17:00,"When can YOU get the #COVIDVaccine? Learn more: https://t.co/4CZpfL33kf 

#COVID19 #InThisTogether https://t.co/94pDCGhcCB","['COVIDVaccine', 'COVID19', 'InThisTogether']",Twitter Web App,False,"covidvaccine, covid19, inthistogether",when can you get the covidvaccine learn more covid19 inthistogether,when can you get the covidvaccine learn more covid inthistogether,fact/announcement,0
NGA,"Washington, D.C.",The National Governors Association (NGA) is the collective voice of the nation's governors. News is presented for information and does not imply endorsement.,2011-10-18 20:16:00,25127.0,2639.0,4644.0,True,2021-03-12 14:55:00,"Yesterday @GovSisolak received a safe, effective, #CovidVaccine. The faster we can get vaccines in arms, the faster… https://t.co/xZypDsuXT8",['CovidVaccine'],Twitter Web App,False,covidvaccine,yesterday received a safe effective covidvaccine the faster we can get vaccines in arms the faster,yesterday received a safe effective covidvaccine the faster we can get vaccine in arm the faster,opinion,1
Less is More,,Just ME... TRUTH,2020-12-27 17:29:00,0.0,1.0,49.0,True,2020-12-31 04:06:00,"The 2021 official NYE Song!
#COVID19Aus #CovidVic 
#NewYearsEve #NYE2021 
#Newyearwithfarmers #NewYears2021… https://t.co/CYcgJGI9uB","['COVID19Aus', 'CovidVic', 'NewYearsEve', 'NYE2021', 'Newyearwithfarmers', 'NewYears2021']",Twitter for iPhone,False,"covid19aus, covidvic, newyearseve, nye2021, newyearwithfarmers, newyears2021",the 2021 official nye songcovid19aus covidvic newyearseve nye2021 newyearwithfarmers newyears2021,the official nye song covid au covidvic newyearseve nye newyearwithfarmers newyears,fact/announcement,0
Renee (she/her),Arizona,🌵❤️🧡💛💚💙💜🤎🖤,2009-03-07 19:53:00,85.0,147.0,3081.0,True,2021-01-14 20:48:00,"There's a dark humor in giving vaccines inside the Agriculture Center at the fairgrounds.
#covidvaccine #fuckcovid","['covidvaccine', 'fuckcovid']",Twitter for Android,False,"covidvaccine, fuckcovid",theres a dark humor in giving vaccines inside the agriculture center at the fairgroundscovidvaccine fuckcovid,there is a dark humor in giving vaccine inside the agriculture center at the fairground covidvaccine fuckcovid,opinion,1
jennifer hill,some where out there ,"I'm just a girl, standing in the middle of the emergency room and wondering what to do next. I still have my other account but I needed a change",2021-01-01 07:10:00,19.0,274.0,11.0,True,2021-02-01 19:37:00,"This is the waiting in line attitude,while getting their #CovidVaccine 🤬 Me,”It looks like you have a slight temper… https://t.co/s8Fraab5tw",['CovidVaccine'],Twitter for iPhone,False,covidvaccine,this is the waiting in line attitudewhile getting their covidvaccine meit looks like you have a slight temper,this is the waiting in line attitude while getting their covidvaccine me it look like you have a slight temper,opinion,1
Nimbuscare,York,"11 GP Practices working collaboratively to deliver local care to local people. At scale Primary Care provider, caring for more than 250,000 people in York area.",2020-10-22 08:04:00,601.0,925.0,502.0,False,2021-02-26 10:51:00,"Fancy working for our team, helping with the #CovidVaccine programme?

We have a number of exciting opportunities f… https://t.co/CoeMLGDqCc",['CovidVaccine'],Twitter Web App,False,covidvaccine,fancy working for our team helping with the covidvaccine programmewe have a number of exciting opportunities f,fancy working for our team helping with the covidvaccine programme we have a number of exciting opportunity f,fact/announcement,0
Jacque Sample For Missouri,"Columbia, MO",Wife | Mom | She-Her | Occupational Therapist | Advocate | Democratic Truth Teller & Candidate | aka Jacque Jo | Don't call me sweetie unless you do my hair,2019-07-07 21:40:00,521.0,814.0,2733.0,True,2021-02-04 16:34:00,Blessed to receive my 2nd COVID vaccine today. Thank you science! #CovidVaccine #HealthcareWorker #OT https://t.co/84S0VW79e1,"['CovidVaccine', 'HealthcareWorker', 'OT']",Twitter for iPhone,False,"covidvaccine, healthcareworker, ot",blessed to receive my 2nd covid vaccine today thank you science covidvaccine healthcareworker ot,blessed to receive my nd covid vaccine today thank you science covidvaccine healthcareworker ot,opinion,1
Hope ALS Portugal - ELA ESPERANÇA PORTUGAL,Portugal,"The ALS patients need #Nurown they want to live
Os doentes de ELA - Esclerose Lateral Amiotrófica precisam de #Nurown , pelo  direito à vida.",2020-03-10 11:29:00,522.0,1907.0,24860.0,True,2021-01-23 12:22:00,"@MNDoddie5 @AlsChange @EuansCentre @EdinburghUni It's  very important  to invest in #alstreatmentsnow 
@EuansCentre… https://t.co/txc4MydOhL",['alstreatmentsnow'],Twitter for Android,False,alstreatmentsnow,its very important to invest in alstreatmentsnow,it is very important to invest in alstreatmentsnow,fact/announcement,0
ISGlobal,Barcelona,Barcelona Institute for Global Health / Instituto de Salud Global de Barcelona / Institut de Salut Global de Barcelona,2011-05-07 17:17:00,18381.0,1556.0,8864.0,True,2021-02-28 20:20:00,💉 A pooled analysis of the Oxford/@AstraZeneca #COVIDvaccine shows that efficacy was higher among those with a long… https://t.co/No7SHPtbDt,['COVIDvaccine'],Hootsuite Inc.,False,covidvaccine,a pooled analysis of the oxford covidvaccine shows that efficacy was higher among those with a long,a pooled analysis of the oxford covidvaccine show that efficacy wa higher among those with a long,fact/announcement,0
Mary Benton,"Houston, Texas","“What the people want is very simple,they want an America as good as its promise.” Personal account. Comms Director #Houston Mayor @SylvesterTurner #Hookem🤘🏾",2009-05-06 23:58:00,10509.0,4295.0,28726.0,True,2021-01-12 22:51:00,Join Mayor @SylvesterTurner tonight along with the areas trusted health leaders to learn more about the #COVID19… https://t.co/PfIpqI8BfT,['COVID19'],Twitter for iPhone,False,covid19,join mayor tonight along with the areas trusted health leaders to learn more about the covid19,join mayor tonight along with the area trusted health leader to learn more about the covid,fact/announcement,0
Michael Kelly ن,Dublin/Omagh/Rome/Jerusalem,"Award-winning Editor of @IrishCathNews columnist with @Independent_ie and @BelTel. Broadcaster, author, media trainer, voiceover guy. Tyrone man.",2010-03-19 23:47:00,8850.0,2338.0,2972.0,True,2021-01-31 13:22:00,It’s unfair to blame the Government for #CovidVaccine delay outside of its control...but it is vital that as soon a… https://t.co/u3hhfUMY3t,['CovidVaccine'],Twitter for iPhone,False,covidvaccine,its unfair to blame the government for covidvaccine delay outside of its controlbut it is vital that as soon a,it is unfair to blame the government for covidvaccine delay outside of it control but it is vital that a soon a,opinion,1
mortonie,,,2008-06-24 16:58:00,566.0,1743.0,17620.0,True,2021-01-31 20:43:00,💉 New #COVID19  warning: Cat 5 hurricane #CovidVaccine  https://t.co/v8Kc3k7blI #axiosam,"['COVID19', 'CovidVaccine', 'axiosam']",Twitter Web App,False,"covid19, covidvaccine, axiosam",new covid19 warning cat 5 hurricane covidvaccine axiosam,new covid warning cat hurricane covidvaccine axiosam,fact/announcement,0
StandWithUs,,Education is the road to peace! We’re fighting #Antisemitism and supporting Israel around the world. Learn more about #Israel at https://t.co/dGoDbOYTnD,2008-09-16 18:42:00,100879.0,601.0,2330.0,True,2021-01-09 14:00:00,WATCH: Many Israelis have been fortunate enough to receive the #CovidVaccine. We hope lessons learned in Israel wil… https://t.co/CodFCGUBaY,['CovidVaccine'],Twitter Web App,False,covidvaccine,watch many israelis have been fortunate enough to receive the covidvaccine we hope lessons learned in israel wil,watch many israeli have been fortunate enough to receive the covidvaccine we hope lesson learned in israel wil,fact/announcement,0
Jayaditya,,Smoke trees | Be Dope | Run the Show,2020-01-18 20:16:00,35.0,37.0,127.0,True,2020-08-25 16:38:00,"Like your dick your mouth needs to be covered

#wearmask  
#CovidVaccine 
#COVIDー19","['wearmask', 'CovidVaccine', 'COVIDー19']",Twitter for Android,False,"wearmask, covidvaccine, covid19",like your dick your mouth needs to be coveredwearmask covidvaccine covid19,like your dick your mouth need to be covered wearmask covidvaccine covid,opinion,1
"Erin Hayden-Baldauf, PhD","Huntington Beach, CA","Educator, mother of 4, mom to T1D, life-long progressive; DM’s will result in automatic block.",2010-07-23 07:46:00,1438.0,2095.0,73740.0,False,2021-03-12 14:32:00,"Getting involved in the vaccine rollout can be a win-win for everyone:

While helping expedite #CovidVaccine distri… https://t.co/oKprPqQRWV",['CovidVaccine'],Twitter for iPhone,False,covidvaccine,getting involved in the vaccine rollout can be a winwin for everyonewhile helping expedite covidvaccine distri,getting involved in the vaccine rollout can be a win win for everyone while helping expedite covidvaccine distri,fact/announcement,0
Hana | 허나 🥲,"San Antonio, TX",social media manager • she/her • 🇰🇷🇺🇸,2018-10-16 16:40:00,44.0,356.0,2874.0,True,2021-02-05 15:40:00,🎉💉🎉happy friday🎉💉🎉 #CovidVaccine https://t.co/xTNX4MOYUe,['CovidVaccine'],Twitter for iPhone,False,covidvaccine,happy friday covidvaccine,happy friday covidvaccine,opinion,1
S'not Baio,Everywhere Chachi #Cult45 isnt,"#Cult45 Need not apply. S'NOT Baio is the name, trolling #Cult45 is the game.  Blocked by some of the best, but always taking requests #Resist #BlackLivesMatter",2021-03-18 18:00:00,644.0,1580.0,6486.0,False,2021-04-12 19:00:00,Now THIS IS CLASS.  It's  his 21st Birthday and he's  promoting #CovidVaccine all while bitter Dlist celebs like Ba… https://t.co/4vKZmdDssQ,['CovidVaccine'],Twitter for Android,False,covidvaccine,now this is class its his 21st birthday and hes promoting covidvaccine all while bitter dlist celebs like ba,now this is class it is his st birthday and he is promoting covidvaccine all while bitter dlist celebs like ba,opinion,1
Paige Kowalski,"Washington, DC","Data Quality Campaign’s EVP taking #eddata & #privacy prime time; mom of 2 boys, navigating traditional & charter schools in DC; #FirstGen",2011-08-30 23:22:00,2733.0,1155.0,31030.0,True,2021-01-14 20:50:00,Celebrating that my step-mom (in her 70s in FL) just got the #CovidVaccine! Grateful that science is protecting my family.,['CovidVaccine'],Twitter for iPhone,False,covidvaccine,celebrating that my stepmom in her 70s in fl just got the covidvaccine grateful that science is protecting my family,celebrating that my step mom in her s in fl just got the covidvaccine grateful that science is protecting my family,opinion,1
Nilesh Kalyanaraman,"Annapolis, MD",Health Officer for Anne Arundel Co. Opinions my own. Be kind. PS: Charity is no substitute for a just public policy. #mask #publichealth,2011-02-24 01:07:00,970.0,381.0,702.0,True,2021-01-14 19:01:00,Savings lives is key and while we’re still giving the #CovidVaccine to #healthcareworkers we’re starting with our 7… https://t.co/dmHvEILP2Z,"['CovidVaccine', 'healthcareworkers']",Twitter for iPhone,False,"covidvaccine, healthcareworkers",savings lives is key and while were still giving the covidvaccine to healthcareworkers were starting with our 7,saving life is key and while we are still giving the covidvaccine to healthcareworkers we are starting with our,fact/announcement,0
West Bridgford Wire News,Nottingham,Nottingham's fastest breaking news website 📲@westbridgfordwirenews on IG & TikTok  • 0115 944 7445 - newsdesk@westbridgfordwire.com,2011-10-14 10:28:00,23501.0,13210.0,1.0,False,2021-03-20 17:24:00,"• Half of all adults in UK have received their first dose of the COVID-19 vaccine
#Nottingham #COVID19Vaccine… https://t.co/trnwn1z97U","['Nottingham', 'COVID19Vaccine']",Twitter Web App,False,"nottingham, covid19vaccine",half of all adults in uk have received their first dose of the covid19 vaccinenottingham covid19vaccine,half of all adult in uk have received their first dose of the covid vaccine nottingham covid vaccine,fact/announcement,0
SUNY Faculty Senate,"Albany, NY",The University Faculty Senate is a governance for SUNY's state-operated campuses. It serves as a deliberative body on educational policies for the SUNY System.,2016-11-28 16:43:00,643.0,82.0,63.0,False,2021-04-12 13:37:00,We applaud @GovChrisSununu change of heart and hope this spreads. #CovidVaccine https://t.co/6RNZ6qUfDd,['CovidVaccine'],Twitter Web App,False,covidvaccine,we applaud change of heart and hope this spreads covidvaccine,we applaud change of heart and hope this spread covidvaccine,opinion,1
CommonSense,,Knowing what u don’t Know🇺🇸,2015-11-21 16:36:00,165.0,283.0,13757.0,False,2021-02-23 13:40:00,#VAERS- VaccineAdverseEventsReportingSystem...site is purposefully difficult to maneuver. Here are the deaths &amp; inj… https://t.co/Axk394CVt5,['VAERS'],Twitter for iPhone,False,vaers,vaers vaccineadverseeventsreportingsystemsite is purposefully difficult to maneuver here are the deaths amp inj,vaers vaccineadverseeventsreportingsystem site is purposefully difficult to maneuver here are the death inj,opinion,1
SpotboyE,Mumbai,"Hungry for Bollywood news? SpotboyE is your go-to guy for Sab Kuch Bollywood! 

FB : https://t.co/XZQuyuBMvA
Insta : https://t.co/bVA6FIHa5h",2014-01-07 06:53:00,571310.0,694.0,4524.0,True,2020-11-08 11:01:00,"As per the reports, Russia has become the first one to register a #Coronavirusvaccine!

#Coronavirus |… https://t.co/bArhVKxVSi","['Coronavirusvaccine', 'Coronavirus']",Twitter Web App,False,"coronavirusvaccine, coronavirus",as per the reports russia has become the first one to register a coronavirusvaccinecoronavirus,a per the report russia ha become the first one to register a coronavirusvaccine coronavirus,fact/announcement,0
Epidemiology Health Meet 2020,United Kingdom,#Epidemiology #PublicHealth #HealthEducation #HealthForAll #Conferences #Webinars #Researchers #COVID19,2020-04-01 08:16:00,146.0,631.0,14.0,True,2020-11-21 07:01:00,"Share your research expertise on #covid_19 at  #EpidemiologyHealthMeet2020 #webinar on November 23
Submit your abst… https://t.co/FMn6Iz0gem","['covid_19', 'EpidemiologyHealthMeet2020', 'webinar']",Twitter Web App,False,"covid19, epidemiologyhealthmeet2020, webinar",share your research expertise on covid19 at epidemiologyhealthmeet2020 webinar on november 23submit your abst,share your research expertise on covid at epidemiologyhealthmeet webinar on november submit your abst,fact/announcement,0
Anna E,"Edina, MN","From the top of the mountains to the shores of the lakes ... Genetic Counseling, Hockey, and that in between ... all views are my own",2011-08-01 18:49:00,143.0,347.0,4510.0,False,2021-02-28 02:47:00,It was a very eventful day! #takethejab #covidvaccine @moderna.vaccines #thankyoudolly #thankyouscientists♥️ @ West… https://t.co/ll7gdvcQSW,"['takethejab', 'covidvaccine', 'thankyoudolly', 'thankyouscientists']",Instagram,False,"takethejab, covidvaccine, thankyoudolly, thankyouscientists",it was a very eventful day takethejab covidvaccine thankyoudolly thankyouscientists west,it wa a very eventful day takethejab covidvaccine vaccine thankyoudolly thankyouscientists west,opinion,1
Dr. Alexa Mieses Malchuk,"Durham, NC",👰🏽 wife | Assistant Professor @uncfammed | #FMRevolution | #NMQF40Under40 | #Author of The Heartbeat of Success | @Medscape writer | medical content expert,2009-01-22 22:15:00,1937.0,2071.0,2396.0,True,2021-01-09 17:53:00,"I’m waiting in line for my second #CovidVaccine dose at the moment, reading Twitter feed and seeing people complain… https://t.co/rzECPEreWn",['CovidVaccine'],Twitter Web App,False,covidvaccine,im waiting in line for my second covidvaccine dose at the moment reading twitter feed and seeing people complain,i am waiting in line for my second covidvaccine dose at the moment reading twitter feed and seeing people complain,opinion,1
Katy Solt,"Charlotte, NC",@SpecNews1CLT Reporter | CLT native | Proud @UofSC alum Have a story idea? Email me katy.solt@charter.com (RTs are not endorsements),2014-01-22 16:47:00,2243.0,648.0,7860.0,True,2021-01-14 21:01:00,"Just like with @BofAstadium, the @spectrumcenter was also an #earlyvoting site in the 2020 election. #covid19 #covidvaccine","['earlyvoting', 'covid19', 'covidvaccine']",Twitter for iPhone,False,"earlyvoting, covid19, covidvaccine",just like with the was also an earlyvoting site in the 2020 election covid19 covidvaccine,just like with the wa also an earlyvoting site in the election covid covidvaccine,fact/announcement,0
Patrick O'Mahen,"Houston, TX","Political scientist. Researcher @IQuEStHouston.  Opinions mine. Good civil servant: I swore an oath to defend the Constitution, and I take it seriously.",2013-09-14 08:04:00,182.0,266.0,1121.0,True,2021-02-07 02:39:00,"TBC, this reaction is NOT a #CovidVaccine side effect. This is just baseline Melissa, as my @IQuEStHouston colleagu… https://t.co/ZZ4ESGwwVH",['CovidVaccine'],Twitter Web App,False,covidvaccine,tbc this reaction is not a covidvaccine side effect this is just baseline melissa as my colleagu,tbc this reaction is not a covidvaccine side effect this is just baseline melissa a my colleagu,fact/announcement,0
Gurch Randhawa,,Professor Diversity&PublicHealth @uniofbeds; MedicalEthicsCommittee @TheBMA; Non-Exec Director @ForestryEngland; Deputy Lieutenant @LLieutenantBeds; Fellow @fph,2012-05-21 21:06:00,2135.0,407.0,8799.0,True,2021-01-20 20:24:00,Urgent need to ensure #CovidVaccine safety messages tailored to reach communities working with trusted messengers-w… https://t.co/jhEr6EXp2q,['CovidVaccine'],Twitter for iPhone,False,covidvaccine,urgent need to ensure covidvaccine safety messages tailored to reach communities working with trusted messengersw,urgent need to ensure covidvaccine safety message tailored to reach community working with trusted messenger w,fact/announcement,0
Christine Burke Wash Your Hands💦👐💦,,"ADPHN, Midwife , RGN, IBCLC currently year 2 MSc @RCSI, all views my own, lover of Gin and dark chocolate. Breastfeeding advocate. Columbo fan !!!!",2016-04-13 21:29:00,165.0,722.0,3263.0,True,2021-04-07 13:31:00,@joeliveline have patience be kind  #CovidVaccine,['CovidVaccine'],Twitter for Android,False,covidvaccine,have patience be kind covidvaccine,have patience be kind covidvaccine,opinion,1
"Noha Sharafeldin, MBBCh, PhD",,"Cancer and genetic epidemiologist. Academic mama. Strong believer in science, data, and common sense.",2009-04-16 02:24:00,147.0,590.0,1368.0,True,2021-01-29 23:11:00,"Today’s summary of events:

- Manuscript rejected 

- Grant not funded 

- Received 2nd dose of #CovidVaccine 

So… https://t.co/CEtCbdPSJg",['CovidVaccine'],Twitter for iPhone,False,covidvaccine,todays summary of events manuscript rejected grant not funded received 2nd dose of covidvaccine so,today s summary of event manuscript rejected grant not funded received nd dose of covidvaccine so,opinion,1
CVS Vaccine Finder - Maryland,,I'm a bot in MD looking for CVS COVID #vaccine appointments,2021-02-23 18:30:00,1606.0,9.0,123.0,True,2021-04-08 10:31:00,"7 CVS locations show #CovidVaccine slots in MD:
Beltsville
Chester
Frederick
Germantown
Oakland
Rockville
Temple Hills",['CovidVaccine'],,False,covidvaccine,7 cvs locations show covidvaccine slots in mdbeltsvillechesterfrederickgermantownoaklandrockvilletemple hills,cv location show covidvaccine slot in md beltsville chester frederick germantown oakland rockville temple hill,fact/announcement,0
Mohammed 🇨🇦,"Saskatoon, SK, Canada ",Opinion Watch - Politics - Finance,2009-04-21 08:58:00,719.0,570.0,6493.0,False,2021-03-23 01:18:00,#Morocco in the top ten countries for #CovidVaccine https://t.co/4UJqJ2wPaQ,"['Morocco', 'CovidVaccine']",Twitter Web App,False,"morocco, covidvaccine",morocco in the top ten countries for covidvaccine,morocco in the top ten country for covidvaccine,fact/announcement,0
Karen Rubin,,"Eclectic travel writer who knows first-hand that travel is a uniquely life-enhancing, relationship building, world-changing experience",2012-12-29 20:24:00,358.0,413.0,1435.0,False,2021-02-28 16:26:00,".@travel_biz_news #COVIDVaccine biggest boon for #travelindustry: pitch to 65+ now freed to #travel, bursting to ma… https://t.co/qYWMxx6smJ","['COVIDVaccine', 'travelindustry', 'travel']",Twitter Web App,False,"covidvaccine, travelindustry, travel",covidvaccine biggest boon for travelindustry pitch to 65 now freed to travel bursting to ma,covidvaccine biggest boon for travelindustry pitch to now freed to travel bursting to ma,fact/announcement,0
Mehdi Eliefifi,USA,"Mehdi is a Bilingual (Arabic - English) Political and Economic analyst, Media consultant, TV host, Public Speaker, Writer and Trainer",2009-01-11 01:13:00,688.0,2340.0,891.0,False,2021-04-12 11:26:00,There's alot more to know about these #CovidVaccines though Pfizer is considered to be the most effective one till… https://t.co/rDSmgPQ8S6,['CovidVaccines'],TweetDeck,False,covidvaccines,theres alot more to know about these covidvaccines though pfizer is considered to be the most effective one till,there is alot more to know about these covidvaccines though pfizer is considered to be the most effective one till,fact/announcement,0
💚💜Anna Sans Souci (she/her),"Avalon, Insula Pomorum","UX/UI Designer. I tweet in Spanish, English and some French. #Runner. Proud leftie. Views are my own, obviously. #Corbynist Forevah",2010-01-07 20:05:00,983.0,537.0,101930.0,True,2021-02-02 17:35:00,"Release the patent now. #PeopleOverProfit #CovidVaccine 

Remembering Albert Sabin and the vaccine that changed the… https://t.co/q9nryN7h9o","['PeopleOverProfit', 'CovidVaccine']",Twitter Web App,False,"peopleoverprofit, covidvaccine",release the patent now peopleoverprofit covidvaccine remembering albert sabin and the vaccine that changed the,release the patent now peopleoverprofit covidvaccine remembering albert sabin and the vaccine that changed the,fact/announcement,0
LafColCOVID,,Unofficial Lafayette College COVID watchdog account. What is Laf doing? taking away retirement. Do they care about their students? staff? no. they/them,2020-03-17 21:00:00,92.0,297.0,3208.0,True,2021-01-19 18:17:00,"From today in PA!

#CovidVaccine 
65+ 
16-64 with serious medical conditions 

GO GET IN LINE!!! #lafcolcovid https://t.co/yPQNLoJNyQ","['CovidVaccine', 'lafcolcovid']",Twitter for iPhone,False,"covidvaccine, lafcolcovid",from today in pacovidvaccine 65 1664 with serious medical conditions go get in line lafcolcovid,from today in pa covidvaccine with serious medical condition go get in line lafcolcovid,fact/announcement,0
💙Stephanie Coughlin,"Theydon Bois, East","GP, Hackney & Covid 19 Lead • @rcgp Lead for Innovation • Nye Bevan Cohort 30 • Mum of 3 • Tweets personal • RTnotE (she/her)",2012-10-05 12:27:00,1684.0,1844.0,6068.0,True,2021-02-12 20:19:00,"Great #COVIDVaccine event this weekend from @Hatzola &amp; @CandHGPConfed. 

@PrimaryCareNHS @NikkiKF @mayorofhackney… https://t.co/5R9b1taMBU",['COVIDVaccine'],Twitter for Android,False,covidvaccine,great covidvaccine event this weekend from amp,great covidvaccine event this weekend from,fact/announcement,0
Mario,"New York, NY",Thinking out loud... still allowed?,2020-11-16 15:42:00,17.0,132.0,593.0,True,2021-01-13 18:48:00,"Interesting.

#NewYork #State #COVID #Government #CovidVaccine  #Mismanagement #America #TheMoreYouKnow #World… https://t.co/1Sf4zrQUcn","['NewYork', 'State', 'COVID', 'Government', 'CovidVaccine', 'Mismanagement', 'America', 'TheMoreYouKnow', 'World']",Twitter Web App,False,"newyork, state, covid, government, covidvaccine, mismanagement, america, themoreyouknow, world",interestingnewyork state covid government covidvaccine mismanagement america themoreyouknow world,interesting newyork state covid government covidvaccine mismanagement america themoreyouknow world,opinion,1
Crystal Dawn,"tuscaloosa, alabama","A beautifully imperfect enigma embodied in the soul of an intelligent,  socially conscious, spiritually empowered, loving, working, independent mother. 🥰",2013-10-30 14:25:00,18.0,44.0,906.0,True,2020-12-27 16:06:00,"I'm with the Queen @dionnewarwick 
WAITING not never on the #CovidVaccine 
A lot of you breathing healthy anti vaxe… https://t.co/0QSGbXY18A",['CovidVaccine'],Twitter Web App,False,covidvaccine,im with the queen waiting not never on the covidvaccine a lot of you breathing healthy anti vaxe,i am with the queen waiting not never on the covidvaccine a lot of you breathing healthy anti vaxe,opinion,1
Squiffy21,,wrestling & political moaning,2019-07-28 06:57:00,13.0,135.0,968.0,False,2021-02-21 07:54:00,Do you think we need a #COVIDVaccine passort  ?,['COVIDVaccine'],Twitter for Android,False,covidvaccine,do you think we need a covidvaccine passort,do you think we need a covidvaccine passort,opinion,1
Just Ann American,,"I'm an opinionated Democrat that believes in helping the sick,poor & disabled. Trump Is Not My President! #NeverTrump #Biden2020 #theresistance",2010-03-07 21:16:00,6579.0,6602.0,93133.0,True,2021-02-01 15:17:00,Just got my 2nd Moderna shot. #Moderna #CovidVaccine https://t.co/UPZVJEFEXY,"['Moderna', 'CovidVaccine']",Twitter for iPhone,False,"moderna, covidvaccine",just got my 2nd moderna shot moderna covidvaccine,just got my nd moderna shot moderna covidvaccine,opinion,1
PIB in Odisha,,"Official Twitter account of Press Information Bureau, Government of India, Bhubaneswar, Odisha.",2017-08-28 09:15:00,13452.0,377.0,1744.0,True,2021-02-06 06:25:00,"Commissioner of Police (Bhubaneswar &amp; Cuttack), Shri @SarangiSudhansu administered the first dose of #CovidVaccine… https://t.co/bLbe58DRof",['CovidVaccine'],Twitter Web App,False,covidvaccine,commissioner of police bhubaneswar amp cuttack shri administered the first dose of covidvaccine,commissioner of police bhubaneswar cuttack shri administered the first dose of covidvaccine,fact/announcement,0
Marc Bains,,"Co-Founder of @heartlifecanada #HeartFailure #Survivor, #HeartTransplant Recipient, 3 x #CancerSurvivor - #Person",2020-06-17 15:43:00,325.0,660.0,2201.0,False,2021-04-12 13:52:00,Living w/a health condition &amp; have q's about the #CovidVaccine? Check out this resource by @HeartLifeCanada &amp; the C… https://t.co/PiXCL0cg20,['CovidVaccine'],Twitter for Android,False,covidvaccine,living wa health condition amp have qs about the covidvaccine check out this resource by amp the c,living w a health condition have q s about the covidvaccine check out this resource by the c,fact/announcement,0
AAA Foundation,,"Challenging Behaviours, Changing Lives",2020-08-20 13:51:00,64.0,178.0,154.0,True,2021-01-12 15:59:00,"Here are some tips to stay healthy during these times!
#COVID19 #Covid19UK #CovidVaccine #coronavirus #COVID… https://t.co/316WOccwaM","['COVID19', 'Covid19UK', 'CovidVaccine', 'coronavirus', 'COVID']",Twitter Web App,False,"covid19, covid19uk, covidvaccine, coronavirus, covid",here are some tips to stay healthy during these timescovid19 covid19uk covidvaccine coronavirus covid,here are some tip to stay healthy during these time covid covid uk covidvaccine coronavirus covid,fact/announcement,0
