clean_tweets,label,classes,classes2
mn lakh people ha been vaccinated for corona virus in india covidvaccine,fact/announcement,0,3
theview vid attached is what actually happened when princess,fact/announcement,0,3
just took my year old gran for her vaccination and it definitely brought some hope to a gloomy january covidvaccine,opinion,1,2
the supply chain to save the world is unprepared for a vaccine covidvaccine,fact/announcement,0,3
i just received the second vaccine covidvaccine,opinion,1,2
covid releasing various security patch for different region covid covid covidvaccine,fact/announcement,0,3
i have been seeing a few post about senior being scared of going to covidvaccine clinic due to fear of contract,opinion,1,0
i just got my vaccine shot scheduled covidvaccine,opinion,1,2
given the history of medical experimentation on and exploitation of bipoc is there any surprise covid,opinion,1,0
in chennai anyone over getting covidvaccine,opinion,1,1
i am assuming all who believe that covid is a covidhoax along with all who identify a antivaxx or antivax wi,opinion,1,0
in early december margaret keenan became the first person in the world to receive the pfizer covidvaccine right,fact/announcement,0,3
nd covidvaccine approved in uk looking forward to covidfree nh rcem,opinion,1,2
i heard that the best thing about the new j j vaccine is that it doe not involve the jet johnsonandjohnson nyjets covidvaccine,opinion,1,1
motivational video of the year link for the video online exam only,fact/announcement,0,3
mexicano we are sooooo screwed actually we are so f cked covidvaccine,opinion,1,0
updated covidvaccine allocation phase for tennessee this is the latest a of,fact/announcement,0,3
part of how doe the testing respond to risk mitigation armymedicine armystrong,fact/announcement,0,3
covidvaccine covid spike in case following vaccine rollout,fact/announcement,0,3
donaldtrump to putin after covidvaccine,opinion,1,1
more covidvaccination program like this now healthequity mybmore covidvaccine,fact/announcement,0,3
first dos of covidvaccine received and stabilising at a secret location this evening though the code hse ul,opinion,1,2
i just got my covidvaccine nd dose already scheduled,opinion,1,2
a better example of balanced coverage covidvaccine on last night s c news,fact/announcement,0,3
please do the same for your elderly family member if you live in la county covidvaccine,fact/announcement,0,3
super excited to see the janssen aka jnj covidvaccine receive it is eua from today all vaccine produ,opinion,1,2
my dad s got his covid vaccine this friday covidvaccine covidvaccination,opinion,1,2
the covidvaccine ha the same expected high standard of safety quality and efficacy a other medicine and vacci,fact/announcement,0,3
still looking for our first dose covidvaccine,opinion,1,2
covidvaccine haha so a new topic new circus politics protest may be,opinion,1,1
preparing our list to approach covidvaccine in dialysis unit consent among patient and staff needed ex,fact/announcement,0,3
by liberallogic we should ban the vaccine right even if it just save one person right covidvaccine pfizer,opinion,1,1
delighted to be of service conor staysafe covidvaccine,opinion,1,2
covidvaccine why the pace of vaccination is le in maharashtra if the more than case are from maharashtra o,fact/announcement,0,3
thank you we have been looking for this shared decision making covidvaccine pregnancy breastfeeding,opinion,1,1
say that vaccination rate may slow down because of covidvaccine supply issue perhaps he should ca,fact/announcement,0,3
covid vaccinated israeli to enjoy bar and hotel with green pas dhpsp vaccinated covid covid,fact/announcement,0,3
madness noting else to add covid covidvaccine vaccinequity covidiots,opinion,1,0
am on a call day my dad supposed to get his second covidvaccine today and kid do not even get snow day bc,opinion,1,2
check out motionatyourdoor s video tiktokleaked covidvaccine conspiracy lockdown killingus nwo,fact/announcement,0,3
pakistan set aside mn to buy covid vaccine pmimrankhan covidvaccine,fact/announcement,0,3
covid covidvaccine do not spread rumor feeling good after taking vaccine stay safe enjoy life,opinion,1,2
do you have question about the covid vaccination roll out henley sonnet pcn bell hart nettlebed and sonn,fact/announcement,0,3
i got the shot i did not get to take a pic afterwards so here is a reel lol covid covidvaccine,opinion,1,2
finally a tiktok that highlight a covidvaccine dilemma,fact/announcement,0,3
you can put it on the board vaccine covidvaccine firstdosedone wearamask,opinion,1,2
falklandislands overseas territory of you k mi from london they have received dos of oxford astraz,fact/announcement,0,3
another order of covidvaccine from india,fact/announcement,0,3
received my st dose of covidvaccine today thank you science and all of those amazing people who worked tireles,opinion,1,2
oxford vaccine will be available in market by april to cost r poonawala oxford covidvaccine,fact/announcement,0,3
they have received their first dose of the vaccine you need two dos to be fully vaccinated covidvaccine,opinion,1,2
vaccine tourism would you fly to another state to get the covidvaccine travel longisland,fact/announcement,0,3
cv location show covidvaccine slot in ca arroyo grande atwater azusa bakersfield bell buellton carson chico,fact/announcement,0,3
my favourite sticker at the moment in the covidvaccine,opinion,1,2
this wa a couple week ago but i forgot to post st covid jab covid covidvaccine getvaccinated,opinion,1,2
i got the vaccine i even got the j j one dose so i will not have to come back this is amazing covid,opinion,1,2
wtf where is the distribution of covidvaccine covid is not on vacation unlike you stop blaming o,opinion,1,0
got my second fauciouchie and feeling fine thisisourshot covidvaccine whywevax famdocs vax,opinion,1,2
yo i tried ion think they gaf about covid covid covidvaccine covidsecondwave,opinion,1,1
cv walgreens begin wisconsin nursing home vaccination covidvaccine wi walgreens cv elderly,fact/announcement,0,3
that should be treated a an act of war how dare they eucovidwar covidvaccine,opinion,1,1
got my husband registered for a covid vaccination shot next week covidvaccine,opinion,1,2
the world s biggest diamond producer raised the diamond price considering the price rebound in,fact/announcement,0,3
blue blooded spider magic i am a witch i believe in vaccine the blueblood of horseshoecrabs a specie mor,opinion,1,2
player one ha earned the power of full vaccination covidvaccine,opinion,1,2
we are doing this for ourselves and for the public vivian who work at cxh ha had her covidvaccine all,fact/announcement,0,3
yes specially after the way they have treated u since brexit with threat of covidvaccine ban threat they,opinion,1,0
is not it great when racist yt dude try to settlersplain native stuff to actual native nativetwitter,opinion,1,1
just took my papa for his first covid injection at stoneleigh park thank you and nh volunteer covidvaccine,opinion,1,2
sharing false information about the covidvaccine can be dangerous check before you share the is the be,fact/announcement,0,3
watching national covidvaccine forum day of,fact/announcement,0,3
holding a pen ready to append his signature on the bbisignatureslaunch meanwhile vi,fact/announcement,0,3
davido share throwback picture of his parent covid covidvaccine simi tuesdayvibe tuesdaymotivations,opinion,1,2
covidvaccine i got mine,opinion,1,2
ha had his nd covidvaccine funny that most other people have not including the very elderly vul,opinion,1,0
let u all go to wale to have night out now pub reopen wale covidvaccine covid,opinion,1,2
hi fellow autoimmune immunesuppressed people have you heard of any state putting ppl with compromised immune,fact/announcement,0,3
got the covidvaccine and now i understand blockchaintechnology,opinion,1,2
fully vaccinated i love science covidvaccine,opinion,1,2
the covidvaccine is safe and one of the most effective defence against covid coronavirus bedford gp dr,fact/announcement,0,3
current mood vaccinated i have a history of severe allergy i brought my epipen to vaccine clinic,opinion,1,2
president on tuesday received the first jab of the oxford astrazeneca covidvaccine after somaliland,fact/announcement,0,3
knowing family and friend who have gotten a covid vaccine make me so happy for them and the patient they care for covidvaccine,opinion,1,2
dallas county tx ha opened a registration hotline for those still on a quest for the covidvaccine give it,fact/announcement,0,3
excellent article on a few reason not to take the covidvaccine if you can refute any of these we would love to hear,opinion,1,0
nearly hoosier age or older have scheduled appointment to receive free covidvaccine a of p m sunda,fact/announcement,0,3
promising nonetheless covidvaccine,opinion,1,2
pls protect yourself friend and family by taking the covidvaccine when offered,fact/announcement,0,3
the latest ndh logistics daily thanks to supplychain covidvaccine,opinion,1,1
covidvaccine supply issue will not impact roadmap hancock,fact/announcement,0,3
a someone who ha been vaccinated just letting you guy know that second shot hit different covidvaccine,opinion,1,2
it is mandatory to carry the photo id used at the time of covidvaccine registration to the covid vaccination si,opinion,1,3
covidvaccine dos of covid vaccine have been administered in ireland people have received,fact/announcement,0,3
so even after having the vacine you still cannot go out what is the point then covidvaccine,opinion,1,0
here is the link to sign up yo resident for covidvaccine in mass,fact/announcement,0,3
icymi on the granicus blog building trust participation in the covid vaccine process govtech covidsolutions,fact/announcement,0,3
rite aid show covidvaccine slot in ca agoura hill beverly hill culver city duarte fresno granada hill ho,fact/announcement,0,3
first drill beat attempt drill beatmaker challenge beat beatmaking drillbeat drillmusic covidvaccine,opinion,1,1
re started using icicibank debit card covid covidvaccine covidpackage to nahi mila by,fact/announcement,0,3
and are doing their part to crushcovid please take the opportunity when it is your tur,fact/announcement,0,3
covid chinese vaccine successful in mid stage trial china covidvaccine covid covid,fact/announcement,0,3
after pfizer announces efficacy of it mrna covid vaccine from their interim phase iii re,fact/announcement,0,3
i see johnson johnson have released their vaccine that will be no more tier presumably covid covidvaccine,opinion,1,1
please explain this and if the fluvaccine can impair or impact the covidvaccine and vice versa,opinion,1,1
so it is now you guy are finally hearing me nanaaddoiscorrupt i have been saying this saaaaaa big big english suuuuu,opinion,1,1
thank you this a great service for our community covidvaccine,opinion,1,2
brilliant covidvaccine primarycarenetworks,opinion,1,2
clarity and assurance in punjabi regarding the covidvaccine from getyourteeka,opinion,1,2
i strongly suspect it is a feature and not a bug covidvaccine,opinion,1,1
people who got moderna covidvaccine report more side effect than pfizer recipient via,fact/announcement,0,3
in case you missed it have your covidvaccine question answered by why we vax scientific advisory board member dr,fact/announcement,0,3
i got scolded for doing a happy dance in the middle of the convention center covidvaccine oregon,opinion,1,2
first round of the fauciouchie done covidvaccine uthealthsa,opinion,1,2
we really do not deserve dolly parton queen covidvaccine,opinion,1,1
today had lunch with everyone i am the country that loved him boris borishasfailedthenation,opinion,1,1
thrilled to join the growing number of folk benefiting from science covidvaccine,opinion,1,2
might experience some arm tenderness yeah okay i feel like someone sliced my arm and burned it covidvaccine,opinion,1,2
i only just learnt today that china s already got a covidvaccine yet in uk we are still struggling with lockdown measure,opinion,1,0
covidvaccine distro in fl disgraceful,opinion,1,0
how about getting covid under control in ontario oh and rolling out covidvaccine much faster in o,opinion,1,0
covidvaccination is not effective and you could have side effect but it is your choice covid covidvaccine,fact/announcement,0,3
i am at waiting for a friend to get her first covidvaccine you would never know there wa a demand for,opinion,1,2
morning pharma usa covidvaccine withholding access to life saving medication could accurately be described,fact/announcement,0,3
abeer arshad can child receive the corona vaccine now covidvaccine,opinion,1,1
a of march of hospital bed for covid patient were taken in kiev aka kyiv ukraine in the cit,fact/announcement,0,3
so how have you all done with the covid vaccine scared covidvaccine,opinion,1,1
i am so proud of my state taking lesson from wwii al hand on deck starbucks washingtonstate microsoft,opinion,1,2
pakistani news channel asking people on street which vaccine they will choose given a chance indianvaccine or,fact/announcement,0,3
a special message from angela jackaman to everyone involved in the covidvaccine programme folkestone,fact/announcement,0,3
grateful to spend thelastdayof in a care home giving covidvaccine giving hope to those who have not seen,opinion,1,2
feeling so incredibly grateful today do not believe the hype get your covidvaccine when given the chance to save,opinion,1,2
the ministry of health say kenya to prioritise covid vaccination for those year old and above covid,fact/announcement,0,3
first dose down covidvaccine pfizervaccine covid,opinion,1,2
here is a friendly reminder not to ask people why they qualified for received the covidvaccine many people have un,fact/announcement,0,3
we did it joe fauciouchie covidvaccine round,opinion,1,2
in dec at a medical appt in alabama i excitedly asked the nurse if she wa relieved the covidvaccine had finally a,opinion,1,2
such playground stuff going on it is mine no it is not it is mine so a health secretary and seen with,opinion,1,1
if you do not want vaccine fair enough do not preach do not complain when or if you get covid antivaccine covidvaccine,opinion,1,0
coincidence is turning out to be quite lethal to covidvaccine recipient if the clinical trial are good predict,fact/announcement,0,3
while all state are set to conduct covidvaccine dry run on jan,fact/announcement,0,3
america s vaccine rollout is already a disaster usa covidvaccine,opinion,1,0
yes the key thread wa should gps deliver covidvaccine how can this be achieved unless much routine gp w,fact/announcement,0,3
warning covidvaccine scam are on the rise the will never ask for your bank account or card detail,fact/announcement,0,3
when i see that a state ha opened covidvaccine eligibility to all adult in march my heart sink i am happy for,opinion,1,2
vaccine diplomacy a new dimension to improve india s geopolitical relation covidvaccine,fact/announcement,0,3
covidvaccine is about to be ready meanwhile corona covidvaccine,fact/announcement,0,3
whoop my parent in london have had the covidvaccine turn out mum s previous reaction to a vaccine wa not an i,opinion,1,2
via on the ground reporting from my friend lisa yesterday at thearmory in nyc,fact/announcement,0,3
fyi in case you missed this or thought we might forget deakin see remembers epic lnpfail,fact/announcement,0,3
check out covidvaccine info,fact/announcement,0,3
dr j latest nba legend to receive covid vaccine drj covidvaccine,fact/announcement,0,3
watch the latest health recommendation on which covid vaccine should be given to people aged over were dis,fact/announcement,0,3
and how deadly that is to the global south covid and the covidvaccine distribution is a perfect example of tha,opinion,1,0
k klass let me show you klub mix via love lovinglife movewhatmatters,fact/announcement,0,3
covid sa covid covidvaccine covid vaccine strategy roll out faq answered,fact/announcement,0,3
are you still looking for more info on the covidvaccine recently a former parent who is also the me,fact/announcement,0,3
i have done research on covidvaccine still have no idea of whether it is safe to take unfortunately it is too late,opinion,1,0
i am going to still cricket where treatment are concerned shameful healthcanada premierford onpoli cdnpoli,opinion,1,0
the real question is will you expect your covidvaccine before those who do not break the law,opinion,1,1
this make sense to me covid covidvaccine zerocovid,opinion,1,2
useful and well written opinion piece covidvaccination covidvaccine,fact/announcement,0,3
q about delay to uk covidvaccine roll out a due to production problem delay with astrazeneca vaccine how will,fact/announcement,0,3
pfizer is now testing a covid pill covid covidvaccine coronavirus,fact/announcement,0,3
officerjoegutierrez joe gut is the coward with the gun pointed at a real patriot cnn foxnews maga,fact/announcement,0,3
have provided govt per latest covidvaccine number nearly million dos distribution clo,fact/announcement,0,3
i am ok with receiving a covidvaccine a long a i do not have to receive it in my pant and vest in a chilly school,opinion,1,1
bex ha been busy this morning laminating her socialstory to be used at vaccination hub for others that struggle,fact/announcement,0,3
massachusetts congressman test positive for covid after getting shot of pfizer vaccine covidvaccine,fact/announcement,0,3
nearly an hour into the covidvaccine quest and no luck tried,opinion,1,1
camping in the sierra c the lardner family of penryn thursdayvibes covid covidvaccine,fact/announcement,0,3
fantastic webinar on covidvaccine so much for this session well worth watching,opinion,1,1
cv location show covidvaccine slot in va danville emporium hampton highland spring newport news pulaski richlands virginia beach,fact/announcement,0,3
first dose in side effect include feeling of overwhelming gratitude and hope moderna krogercares stdose,opinion,1,2
wonder how many christian will unfollow me since i got the covidvaccine,opinion,1,2
number done covidvaccine,opinion,1,2
covidvaccine maker including moderna must hit timing goal for full payment,fact/announcement,0,3
this is not about a shortageofcovidvaccines it is about a sorry vaccinestrategy to serve people who really need,opinion,1,1
another scam email covidvaccine,fact/announcement,0,3
lt governor interacts with j k and ladakh contingent of ncc cadet jammukashmir delhi bcci,fact/announcement,0,3
are we the only country that ha not ordered covidvaccine just yet indiaaaaaaa ab hum per hamla na kerna hu,opinion,1,1
covidvaccine india inoculates crore in day indiafightscorona crorevaccinejabs india,fact/announcement,0,3
missed it by that much spot left and ahead of u hahahaha covidvaccine,opinion,1,1
you can stick your poison vaccine up your a london covidvaccine,opinion,1,0
you had one job covidvaccine stuffup lnp,opinion,1,1
the day when your year old grandma receives the covidvaccine and call you to share how this is the first time,opinion,1,2
we stayed at home we baked we zoomed we cried we homeschooled we stayed ft apart we locked down we did,opinion,1,1
wow have you read vaers have you seen any long term data or study i do not think so bc the,opinion,1,1
doe your colleague wonder if m e patient become more ill after getting covidvaccine,opinion,1,0
trudeau confirms that approved covid vaccine will be free for all canadian covid uk covidvaccine,fact/announcement,0,3
first time in a while there ha been a feeling of a light at the end of a very long tunnel covidvaccine,opinion,1,2
victory covid covidvaccine,opinion,1,2
this is totally erroneous continues to pursue covidvaccine that can be made available quickly,fact/announcement,0,3
getting my covidvaccine wa such a uniquely dystopian and simultaneously hopeful experience there wa army presen,opinion,1,2
covidvaccine priority for kiwi announce level for auckland allow the audi mercedes owner to escape to their,opinion,1,1
i received my covidvaccine today a well and cape fear valley d,opinion,1,2
why are not you wondering why a patient pcp is not giving them this covidvaccine my,opinion,1,0
starting my part time gig a a covid vaccinator today nurse covidvaccine,opinion,1,2
more than a temperature scanner tellisure can help protect your employee and visitor,fact/announcement,0,3
worth considering given the trump virus sh tshow covidvaccine,opinion,1,1
what is a girl got to do to get some moderna all up in this temple moderna vaccine okleg covidvaccine,opinion,1,2
i feel sure he ha been getting the exact same shot for year now covidvaccine,opinion,1,1
mi for rwrunstrek day covidvaccine day b r,opinion,1,1
tobe nwigwe make it home live version ripmaghufuli music wakeupafrica africa,fact/announcement,0,3
one shot no dry ice covidvaccine this is really positive news need to be fast tracked by why are biden,opinion,1,2
a look behind the scene at new covidvaccine centre in roscommon town vaccination team are busy completing th,fact/announcement,0,3
the pfizer and moderna vaccine require two dos vaccin vaccination will tiffanydover get the,fact/announcement,0,3
study of k individual who got both dos of pfizer covidvaccine show it wa effective in real life one week a,fact/announcement,0,3
finally getting vaccinated today vaccinateny covidvaccine,opinion,1,2
some better news on the covidvaccine front the province administered dos yesterday bringing the seven d,fact/announcement,0,3
this covidvaccine v v excited and feel privileged,opinion,1,2
our first igotmine ambassador for onecommunityunited covidvaccine ocu one community united is asking every,fact/announcement,0,3
more than country under leadership collaborate to ensure availability and access to covidvaccine in a p,fact/announcement,0,3
a great day for donegal a nicky hanlon became the first person in residential service for older people in donega,fact/announcement,0,3
just got my covid vaccine covidvaccine covid,opinion,1,2
a spoonful of sugar hel the medicine go down krispykreme covidvaccine,opinion,1,2
save the date for our next open access ikeep webinar covid vaccine trust transparency and global access,fact/announcement,0,3
waiting in que with many others for chance at covidvaccine for hub florida it is a crap shoot do not know what c,opinion,1,2
come on then borisjohnson torybritain torygenocide tory covid uk covidvaccine,fact/announcement,0,3
vaccinated woot woot covid covidvaccine,opinion,1,2
first dose yes vaccinated vaccineswork covidvaccine gratitude,opinion,1,2
if you really want to scare a mooch deliver him this simple truth a hypocrite he will always be like one s atop tha,opinion,1,1
astrazenecca safe please look after yourself and others covidvaccine,opinion,1,2
sputnik v vaccine approved by expert group govt panel for use in india to be rolled out by dr reddy s covidvaccine vaccination,fact/announcement,0,3
here is interesting learningdisability covidvaccine,fact/announcement,0,3
covidvaccine nurse but it worked out shakespeare the taming of the shrew nurse so it is okay then shake,fact/announcement,0,3
before you get your covidvaccine it need to get there safely that is where aerosafe global s expertise is playing,fact/announcement,0,3
a saturday with almost no school work i did get covidvaccine jab vaccinated,opinion,1,2
received first dose of covid vaccine at dhq new building mirpurkhas covid vaccination covidvaccine,opinion,1,2
covid is relatively harmless in people who are healthy i hear a lot about mask social distancing covidvaccine,opinion,1,1
just had my covidvaccine after working the early shift i had the astrazeneca jab,opinion,1,2
my pink scrub were a big hit a went around to tell staff some bhwellbeing exciting improvement,fact/announcement,0,3
yes nwo muppets they must choke on that covidvaccine voetsekramaphosa,opinion,1,0
please let it be available for needy people first arizona covidvaccine,opinion,1,2
privileged to be receiving the st dose of covidvaccine a a member of municipal team promptly received certific,opinion,1,2
small business bartering grew during pandemic marketing covidvaccine business adtech smallbusiness,fact/announcement,0,3
talking about the covidvaccine is the new talking about the weather,opinion,1,1
it is a great day at the palmsprings convention center it is the first day of the new curative covidvaccine site,fact/announcement,0,3
me and hals hopeful covidvaccine moderna,opinion,1,2
good point from that eucommission neither staffed nor structured for delivery of something like,fact/announcement,0,3
visuals box of covidvaccine to reach delhi at am covishield,fact/announcement,0,3
please take first shot of vaccine to create awareness and infuse reliability covidvaccine,opinion,1,2
covidvaccine just stick to what you are good at,opinion,1,2
fauci just got ripped a new one fraud covid uk coronavirusuk covidvaccine propaganda masksoff,opinion,1,2
wfai is doing their part to keep everyone safe for ourfamily ourfriends ourpatients weil foot,fact/announcement,0,3
would you pay to move to the front of the line and recieve the vaccine earlier covidvaccine vaccineforsouthafrica lockdownsa,opinion,1,1
advice for teacher to be on covidvaccine priority list,opinion,1,2
let u all pray that covid vaccine may complete it trial soon and uski bhi sarkari naukri lag jaye covid covidvaccine,opinion,1,2
the covidvaccine doe not protect against the variant we are far from seeing the light at the end of this,opinion,1,0
italy block shipment of oxford astrazeneca vaccine to australia via cdnpoli onpoli covid covid,fact/announcement,0,3
wearamask socialdistensing covidvaccine coronavirusuk starin staysafe,opinion,1,1
friend of my dad nearly died after having his covidvaccine got knocked over in the car park,opinion,1,0
if this wa a real pandemic most healthcare worker would want the vaccine only of nursing hom,opinion,1,0
breaking covidvaccine dry run to take place across india on january health ministry timesnow track,fact/announcement,0,3
justin bihar chief minister nitish kumar to get covid vaccine jab at a patna hospital tomorrow bihar,fact/announcement,0,3
people succumbed to coronavirus during last hour taking the tally of total number of death in pakistan t,fact/announcement,0,3
covidvaccine process at the dome is so quick and easy in and out in le than minute get your shot stl,opinion,1,2
to mandate or not to mandate will mandate it employee to get the covidvaccine i checked with,opinion,1,1
a great resource for the latest on covid thankful to have the expertise of expert and real lif,fact/announcement,0,3
just waiting for world health bill gate and murdock vaccine covidvaccine saynotonaturalmedices,opinion,1,2
fact the covidvaccine doe not contain any animal product including egg this mean that it is suitable for veg,fact/announcement,0,3
it is almost like there are people out there who want ontario to be kept locked dow,opinion,1,1
my office requires we come into the office when will immune compromised be eligible i,opinion,1,1
this highlight what state and local are going through re covidvaccine this is what happens when a cohesive na,fact/announcement,0,3
received an sm tonight that tomorrow s az jab appointment ha been rescheduled covidvaccine,opinion,1,2
covidvaccine vaccine vaccinobligatoire bigpharma astrazeneca covid covid psyop,opinion,1,1
astrazenecavaccination health worker in europe resist covidvaccine jab suffer side effect,fact/announcement,0,3
one more sleep til this beauty open hooray covidvaccine thankyou volunteer,opinion,1,2
first vaccine scheduled covidvaccine,opinion,1,2
how russia and china are winning the vaccine diplomacy race check out our report on the global vaccine race,fact/announcement,0,3
got my first dose of vaccine a few hour ago i am already experiencing the soreness and headache worth it vaccine maskup covidvaccine,opinion,1,2
today in newjersey coronavirusupdate new death today from covid please maskup because,fact/announcement,0,3
i want to know why a resident of mexico got the covidvaccine in miami and he doe not even li,opinion,1,1
i am getting my first covidvaccine shot this weekend,opinion,1,2
are you looking for reliable covidvaccine information from trusted community health worker our chws are here to,fact/announcement,0,3
great mythbusting on prep and hiv and covidvaccine,fact/announcement,0,3
proud moment vaccine covid covidvaccine,fact/announcement,0,3
reminder no first dose covidvaccine appointment are currently available but we will be sure to post here when mor,fact/announcement,0,3
people like lawyer more when they get to stab them covidvaccine localfriends accomplice,opinion,1,1
you cannot say the covidvaccine is free and then charge for parking in the parking lot you told u to you,opinion,1,0
join on wed pm cst for a twitter chat on covid covidvaccine with dra,fact/announcement,0,3
shared from ab cbn news mobile app covid covidvaccine,fact/announcement,0,3
veteran who are older are eligible to receive the first dose of the covidvaccine at the in o,fact/announcement,0,3
covidvaccine side effect maybe,opinion,1,0
my year old mom got vaccinated today i teared up hearing about it vaccine covidvaccine,opinion,1,2
rite aid show covidvaccine slot in ca apple valley banning beaumont blythe bonita brawley coachella coaling,fact/announcement,0,3
will the covidvaccine give u lifelong immunity vaccineswork,opinion,1,1
so unless a covidvaccine come along new zealand is on lockdown forever,opinion,1,2
a of minute ago a few dozen covidvaccine appointment are available at the reggis lewis center,fact/announcement,0,3
watch momvocate tonight at pm with on discussing the great news that all az adult can,fact/announcement,0,3
on the bright side so many people want the covidvaccine see more cartoon at,opinion,1,2
get your vaccine and end this nightmare vaccine covid covidvaccine,opinion,1,2
in box me covid unemploymentbenefits onepiece sundayvibes,fact/announcement,0,3
my new year ha begun hr no side effect covidvaccine covid grateful happynewyear wewillwin,opinion,1,2
blackandbrown child were unable to attend hybridschool in august due to no wifi so what do t,opinion,1,1
new aasld expert panel consensus statement on covid vaccine just posted online,fact/announcement,0,3
year old robert salt wa the first to receive his covidvaccine at andrew s pharmacy in macclesfield today tha,opinion,1,2
just got my first covid vaccine shot covidvaccine getvaccinated vaccination vaccinationcovid covid sputnikv,opinion,1,2
mask are further tool to push the government s agenda for the sissyfication of white men covid covidvaccine nomask,opinion,1,0
trump say is not enough politician think society is so dumb def blind they try make u bel,opinion,1,1
ilovemyindia inspite of canada abetting harboring dangerous khalistanis india decides to supply,opinion,1,1
first covidvaccine vaccine done i wa hoping for spidey power or at the very least it would grow some hair but nothing damn it,opinion,1,2
houston we have a problem why did resident of a swanky houston high rise get their covidvaccine ahead of most p,opinion,1,0
saying the covidvaccine ha went through all the testing of any other vaccine would usually go throu,fact/announcement,0,3
already vaccinated vaccine vaccinated covid covid covidvaccine,opinion,1,2
glad i have both my kidney for the covidvaccine minute of silence for the bches who got iphone p,opinion,1,2
update nearly hr after getting johnsonandjohnson covidvaccine i feel normal assume tomorrow will come the storm,opinion,1,2
this will be exceptionally interesting to follow covidvaccine,opinion,1,2
covidvaccine we must not let the eu take any of the vaccine destined for uk they need to realise that if they ar,opinion,1,1
put the vaccine in milk and whole the haryana will be vaccinated in a day covidvaccine,opinion,1,2
if fauciouchie were house in gameofthrones but whichever house chooses you make sure to vaccinate,opinion,1,2
know the easiest way to immigrate covidrelaxation prvisa,fact/announcement,0,3
what i do when my boy are tucked away in bed translating script for awareness on corona virus covidvaccine,opinion,1,2
industrial school residential project for more detail contact u morningmotivation wednesdaythoughts,fact/announcement,0,3
covidvaccine killed dmx he had a heart attack a week after the covid vaccine coincidence i think not,opinion,1,0
a total of briton have received the first dose of a covid vaccine covid covidvaccine,fact/announcement,0,3
duterte class abc can buy covid vaccine for themselves gma news coronavirus covid covid ph,opinion,1,1
when any such law especially related to covidvaccine is passed in the u people in the rest of the world,fact/announcement,0,3
omg we got this uk coronavirus covidvaccine covid,opinion,1,2
had my nd covid vaccination today covidvaccine covid so greatful to my trust for giving all front line staf,opinion,1,2
when said that covidvaccine allocated for texas are meant for texan why did receiv,fact/announcement,0,3
i am getting my covidvaccine tomorrow and i am so excited,opinion,1,2
i asked dad when i can scan him for his microchip he laughed covidvaccine,opinion,1,2
god bless president trump pfizer covidvaccine,opinion,1,2
ettelecom industry s recovery linked to confidence in covid vaccine tma covid vaccine xiaomi tma,fact/announcement,0,3
can we agree billy joel shud do psa campaign mary especially with new johnsonandjohnson cauz it rea,opinion,1,2
there is a lot of information going around about the covid vaccine here is what you need to know covid,fact/announcement,0,3
covidvaccine pfizer to start pilot delivery program for it covid vaccine in four u state,fact/announcement,0,3
publix pharmacy is administering covidvaccine in fl ga but not alabama why,opinion,1,2
this maharashtra top the list of state in total vaccine dos given at dos maharashtra account,fact/announcement,0,3
covid vaccination did astrazeneca covidvaccine,opinion,1,2
from our collection opera glass c tuesdaymotivations covid covidvaccine,fact/announcement,0,3
covidvaccine from the fda there is no you s food and drug administration fda approved vaccine to prevent covid,fact/announcement,0,3
having covidvaccine in canada would be much safer trudeauvaccinefailure trudeaufailedcanada,opinion,1,2
great idea and how about it for wa too covidvaccine,opinion,1,2
covidvaccine adverse effect database vaers people have died the first day of after getting the sh,fact/announcement,0,3
i got the jab today covidvaccine,opinion,1,2
dr abdur rehman one of our frontline healthcare worker get covidvaccine at mm hospital dikhan today,fact/announcement,0,3
expert have pointed to a covidvaccine coverage rate a a way to reach population immunity through,fact/announcement,0,3
what bojo netanyahu and biden have in common world leading,fact/announcement,0,3
spent yesterday today trying to schedule my parent for a nyc covidvaccine w o success then she call me after my,opinion,1,2
tote i will take whatever covidvaccine i can get,opinion,1,2
put the vaccine on momos and all momo s lover whole will be vaccinated momoslover covidvaccine,opinion,1,2
pine mound inn c near dutch flat covid covidvaccine sundayvibes,fact/announcement,0,3
the patient who caused the oxford coronavirus trial to be put on hold developed symptom of a rare spinal disorde,fact/announcement,0,3
got nd dose of covidvaccine today bonus that it wa given by one of the,opinion,1,2
name one thing harder than getting a covidvaccine i will wait,opinion,1,1
very bad they went from kingsoopers bouldercolorado massshooting into krispykreme giving,fact/announcement,0,3
is the best and she ha always been an amazing caring person covidvaccine thank you dolly,opinion,1,1
black mask at for piece call to place your order free delivery within town covid,fact/announcement,0,3
excited to be hosting this event a part of increasing awareness of covidvaccine among bame communi,fact/announcement,0,3
today i am grateful for getting my appointment for the covid vaccine dailygratitudepractice yayscience covidvaccine,opinion,1,2
ahead of the launch of a nationwide vaccination drive against covid on january,fact/announcement,0,3
had my first covid vaccination today big thank you to all of the staff who work tirelessly everyday you are amazing covidvaccine,opinion,1,2
update on the intentional covidvaccine destruction,fact/announcement,0,3
huge news just released vaccine effective covidvaccine,fact/announcement,0,3
i got my nd dose of the pfizercovidvaccine today feeling so grateful that i have been able to complete the cycle,opinion,1,2
i did it for my family friend and community covidvaccine doyourpart,opinion,1,2
poll about in american say they definitely or probably will not get the covidvaccine,fact/announcement,0,3
